0,1,2
PERFIL DE ARRANQUE,,
Corriente,100000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000781268764995,
Toroidal Beta,0.0009522210013277204,
Total Beta,0.000949208930146985,
Normalized Beta,0.2386686670024302,
Elongation,2.0798357623979533,
Triangularity,0.434222216345455,
Intersect Walls,False,
Plasma Aspect Ratio,3.2062766904762894,
Inverse Plasma Aspect Ratio,0.31188824188827285,
Minour Radius,0.47544293518758596,m
Plasma Volume,12.514073051203592,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,99999.99999999999,Amps
Plasma Pressure on Axis,500.1237054966773,Pascals
Plasma Average Pressure,111.92249781585289,Pascals
Plasma Thermal Energy,2100.9094706111364,Joules
am,2,
an,2,
L,233683.38240843161,
Beta0,0.17496788324009624,
,,
Geometric Axis,"[array([1.52440160e+00, 2.56878324e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5644356249646032), np.float64(0.0002568783241090729), np.float64(0.03142222838295392))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0489183465847314), np.float64(1.9998618193098001))","(R,Z)"
Shafranov Shift,"[array([4.00340242e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
