0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.2993372899759728,
Toroidal Beta,0.07704890324306617,
Total Beta,0.0612764503797259,
Normalized Beta,3.92299088657614,
Elongation,2.0529757648144726,
Triangularity,0.43454433508995877,
Intersect Walls,False,
Plasma Aspect Ratio,3.1190760172602046,
Inverse Plasma Aspect Ratio,0.32060776796276985,
Minour Radius,0.4855104290402288,m
Plasma Volume,12.520006709299059,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,660000.0000000001,Amps
Plasma Pressure on Axis,115426.9578984909,Pascals
Plasma Average Pressure,9596.42891004125,Pascals
Plasma Thermal Energy,180221.03150854187,Joules
am,2,
an,6,
L,3723999.734684538,
Beta0,0.3554175323070876,
,,
Geometric Axis,"[array([ 1.51434394e+00, -5.21847999e-05])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5884353735276286), np.float64(-5.218479986089491e-05), np.float64(0.3016644307493613))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0288325227059163), np.float64(1.999877673419941))","(R,Z)"
Shafranov Shift,"[array([7.40914382e-02, 3.88008852e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
