0,1,2
PERFIL DE ARRANQUE,,
Corriente,650000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000262952818814,
Toroidal Beta,0.03721660831365785,
Total Beta,0.033109550997980804,
Normalized Beta,1.6815198867680514,
Elongation,2.0925232960603863,
Triangularity,0.47627872006376964,
Intersect Walls,False,
Plasma Aspect Ratio,3.2052751504733497,
Inverse Plasma Aspect Ratio,0.3119856964080983,
Minour Radius,0.47557292617117963,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,649999.9999999999,Amps
Plasma Pressure on Axis,21109.216986941145,Pascals
Plasma Average Pressure,4719.137021995608,Pascals
Plasma Thermal Energy,88712.06002395526,Joules
am,2,
an,2,
L,1518282.575014213,
Beta0,0.17491027662752728,
,,
Geometric Axis,"[array([1.52434208e+00, 2.81592699e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643992694540332), np.float64(0.00028159269857459503), np.float64(0.20422926657620152))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487261586047596), np.float64(1.9999319334361034))","(R,Z)"
Shafranov Shift,"[array([4.00571870e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
