0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.2997232463819912,
Toroidal Beta,0.11090762765258888,
Total Beta,0.08095249605064936,
Normalized Beta,5.403097908603084,
Elongation,2.0863489458784112,
Triangularity,0.44333687333332467,
Intersect Walls,False,
Plasma Aspect Ratio,3.1874323235704436,
Inverse Plasma Aspect Ratio,0.3137321513009685,
Minour Radius,0.47766303006473787,m
Plasma Volume,12.464134711650807,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,660000.0,Amps
Plasma Pressure on Axis,329967.23128586623,Pascals
Plasma Average Pressure,13357.3362013052,Pascals
Plasma Thermal Energy,249731.45670281712,Joules
am,2,
an,10,
L,6582250.085121022,
Beta0,0.5593223718619055,
,,
Geometric Axis,"[array([ 1.52251858e+00, -1.62856682e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.6151594966163996), np.float64(-0.00016285668170644356), np.float64(0.3726657817590581))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0447560999858416), np.float64(2.000206994415179))","(R,Z)"
Shafranov Shift,"[array([9.26409148e-02, 4.06033714e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
