0,1,2
PERFIL DE ARRANQUE,,
Corriente,340000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000341043568539,
Toroidal Beta,0.010764708808436146,
Total Beta,0.01039186647178026,
Normalized Beta,0.8307640302752929,
Elongation,2.092529364268431,
Triangularity,0.47628224323243123,
Intersect Walls,False,
Plasma Aspect Ratio,3.205236508023936,
Inverse Plasma Aspect Ratio,0.311989457719147,
Minour Radius,0.47557586145938613,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,339999.99999999994,Amps
Plasma Pressure on Axis,5775.918355047065,Pascals
Plasma Average Pressure,1291.2409571265275,Pascals
Plasma Thermal Energy,24273.21876014486,Joules
am,2,
an,2,
L,794187.4539971147,
Beta0,0.17490971162870372,
,,
Geometric Axis,"[array([1.52433311e+00, 2.77091277e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643940041191706), np.float64(0.0002770912768838061), np.float64(0.10682739621616948))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487140915901294), np.float64(1.9999259291984695))","(R,Z)"
Shafranov Shift,"[array([4.00608906e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
