0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.30001707601386896,
Toroidal Beta,0.048398013880132616,
Total Beta,0.04167509109210375,
Normalized Beta,2.2955729399151,
Elongation,2.054438340557108,
Triangularity,0.44360173493042715,
Intersect Walls,False,
Plasma Aspect Ratio,3.1209335494342576,
Inverse Plasma Aspect Ratio,0.3204169470962538,
Minour Radius,0.48530163551225114,m
Plasma Volume,12.624402114367888,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,660000.0000000002,Amps
Plasma Pressure on Axis,36759.80415817214,Pascals
Plasma Average Pressure,6151.190741525657,Pascals
Plasma Thermal Energy,116482.65810479502,Joules
am,2,
an,3,
L,1999704.9715472858,
Beta0,0.22098336879941677,
,,
Geometric Axis,"[array([1.51459416e+00, 1.50791246e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5662283443796492), np.float64(0.00015079124583592795), np.float64(0.23439836535857814))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0292854771512074), np.float64(1.9999144311957937))","(R,Z)"
Shafranov Shift,"[array([5.16341885e-02, 3.60497222e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
