0,1,2
PERFIL DE ARRANQUE,,
Corriente,260000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.30003943548313317,
Toroidal Beta,0.006351896725177699,
Total Beta,0.00622021352214279,
Normalized Beta,0.628224721104396,
Elongation,2.092698117505704,
Triangularity,0.4763582627693087,
Intersect Walls,False,
Plasma Aspect Ratio,3.205322094534328,
Inverse Plasma Aspect Ratio,0.3119811271713337,
Minour Radius,0.4755652413162821,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,260000.00000000006,Amps
Plasma Pressure on Axis,3377.789407959266,Pascals
Plasma Average Pressure,755.1123337746368,Pascals
Plasma Thermal Energy,14194.877234210315,Joules
,,
Geometric Axis,"[array([1.52433978e+00, 2.82102380e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643977570206213), np.float64(0.00028210238031114147), np.float64(0.08169685699239719))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.048731624450593), np.float64(1.9999219886394306))","(R,Z)"
Shafranov Shift,"[array([4.00579816e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
