0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.2998966970453153,
Toroidal Beta,0.021825058998308902,
Total Beta,0.02034448396310651,
Normalized Beta,0.7544168429647292,
Elongation,2.4521402422702447,
Triangularity,0.6950622027787398,
Intersect Walls,False,
Plasma Aspect Ratio,3.924422256913796,
Inverse Plasma Aspect Ratio,0.2548145776714685,
Minour Radius,0.4061571900376755,m
Plasma Volume,11.402218364720579,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,659999.9999999999,Amps
Plasma Pressure on Axis,6476.207098761984,Pascals
Plasma Average Pressure,2619.501180624438,Pascals
Plasma Thermal Energy,44802.18670218481,Joules
am,9,
an,2,
L,943408.4768794313,
Beta0,0.09141373223442444,
,,
Geometric Axis,"[array([1.59393232, 0.00425505])]","(R,Z)"
Magnetic Axis,"(np.float64(1.6064154749817467), np.float64(0.0007105743957520061), np.float64(0.15200295722428142))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.1877746223577523), np.float64(2.0001006703023028))","(R,Z)"
Shafranov Shift,"[array([ 0.01248316, -0.00354448])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
