0,1,2
PERFIL DE ARRANQUE,,
Corriente,620000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.30002701072441135,
Toroidal Beta,0.034089012264868775,
Total Beta,0.030610996613905345,
Normalized Beta,1.594400145702715,
Elongation,2.092490287309252,
Triangularity,0.47626300362884805,
Intersect Walls,False,
Plasma Aspect Ratio,3.2052453357089763,
Inverse Plasma Aspect Ratio,0.31198859845741184,
Minour Radius,0.4755759680648869,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,620000.0000000001,Amps
Plasma Pressure on Axis,19205.502752606168,Pascals
Plasma Average Pressure,4293.562218780462,Pascals
Plasma Thermal Energy,80711.9495563978,Joules
,,
Geometric Axis,"[array([1.52433765e+00, 2.83273720e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643965110995592), np.float64(0.0002832737203568341), np.float64(0.1947996944689929))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487185861756965), np.float64(1.9999305503864895))","(R,Z)"
Shafranov Shift,"[array([4.00588577e-02, 3.40439482e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
