0,1,2
PERFIL DE ARRANQUE,,
Corriente,950000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000240494175398,
Toroidal Beta,0.07330317097522393,
Total Beta,0.058910020458715094,
Normalized Beta,2.599143162151904,
Elongation,2.0924769325999972,
Triangularity,0.47625600289385656,
Intersect Walls,False,
Plasma Aspect Ratio,3.2052629994003667,
Inverse Plasma Aspect Ratio,0.31198687913817924,
Minour Radius,0.47557455481372446,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,949999.9999999995,Amps
Plasma Pressure on Axis,45090.43719791483,Pascals
Plasma Average Pressure,10080.390394772763,Pascals
Plasma Thermal Energy,189494.85755508448,Joules
am,2,
an,2,
L,2219012.7150146905,
Beta0,0.17490968381779537,
,,
Geometric Axis,"[array([1.52434152e+00, 2.82258561e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643989504916076), np.float64(0.0002822585609703065), np.float64(0.2984802209583712))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487239417983978), np.float64(1.9999329979680256))","(R,Z)"
Shafranov Shift,"[array([4.00574265e-02, 3.40439482e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
