0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.2997845127121517,
Toroidal Beta,0.02245885048837204,
Total Beta,0.020893573983530034,
Normalized Beta,0.7926049144157506,
Elongation,2.4097345152113943,
Triangularity,0.7028928178613711,
Intersect Walls,False,
Plasma Aspect Ratio,3.8490825400700737,
Inverse Plasma Aspect Ratio,0.2598021709302692,
Minour Radius,0.41247436135580196,m
Plasma Volume,11.51261610169827,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,660000.0000000001,Amps
Plasma Pressure on Axis,6845.991361246096,Pascals
Plasma Average Pressure,2711.0291154977153,Pascals
Plasma Thermal Energy,46816.556170877724,Joules
am,8,
an,2,
L,949558.5972715383,
Beta0,0.09494637154872362,
,,
Geometric Axis,"[array([1.58764786e+00, 6.74472591e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.6013879277605914), np.float64(0.0006744725907413396), np.float64(0.15446869460780996))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.175115291523813), np.float64(2.0001307569437756))","(R,Z)"
Shafranov Shift,"[array([1.37400652e-02, 2.69966341e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
