0,1,2
PERFIL DE ARRANQUE,,
Corriente,420000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000310368223095,
Toroidal Beta,0.016242536096654468,
Total Beta,0.015408384901484206,
Normalized Beta,1.0398302412929195,
Elongation,2.0925355550555773,
Triangularity,0.4762817576041808,
Intersect Walls,False,
Plasma Aspect Ratio,3.205278020176056,
Inverse Plasma Aspect Ratio,0.3119854170856209,
Minour Radius,0.47557164259946516,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,420000.0,Amps
Plasma Pressure on Axis,8813.717376947125,Pascals
Plasma Average Pressure,1970.357472948956,Pascals
Plasma Thermal Energy,37039.49887324532,Joules
am,2,
an,2,
L,981055.8652918678,
Beta0,0.17491079631162285,
,,
Geometric Axis,"[array([1.52433933e+00, 2.76885372e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643980382205862), np.float64(0.0002768853722553995), np.float64(0.1319585824369104))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487246733068472), np.float64(1.9999279216885977))","(R,Z)"
Shafranov Shift,"[array([4.00587052e-02, 3.40439482e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
