0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.29959868999406103,
Toroidal Beta,0.02550187144424539,
Total Beta,0.02350142750689392,
Normalized Beta,0.98034351669131,
Elongation,2.267789820905945,
Triangularity,0.5618223515237496,
Intersect Walls,False,
Plasma Aspect Ratio,3.565736933460878,
Inverse Plasma Aspect Ratio,0.2804469366811666,
Minour Radius,0.4381010298501494,m
Plasma Volume,11.95426927967405,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,659999.9999999999,Amps
Plasma Pressure on Axis,8932.867024443749,Pascals
Plasma Average Pressure,3145.4097125909725,Pascals
Plasma Thermal Energy,56401.61204882197,Joules
am,5,
an,2,
L,1012173.8360671044,
Beta0,0.1114580543765254,
,,
Geometric Axis,"[array([1.56215302e+00, 5.37634639e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5820369912956898), np.float64(0.0005376346386373001), np.float64(0.1667823661718933))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.1240066897804064), np.float64(2.000266491629175))","(R,Z)"
Shafranov Shift,"[array([1.98839686e-02, 2.92734587e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
