0,1,2
FC1,-0.003619308654785156,MA
FC2,-0.08442985913085937,MA
FC3,-0.08692547436523437,MA
FC4,-0.023267892578125,MA
FC5,0.0914487353515625,MA
FC6,0.07691429821777344,MA
FC7,-0.2918262723388672,MA
FC8,0.05694426135253906,MA
FC9,0.049724736328125,MA
FC10,-0.003518701477050781,MA
FC11,-0.08388270532226562,MA
FC12,-0.0880128427734375,MA
FC13,-0.019313901123046876,MA
FC14,0.08829095263671875,MA
FC15,0.07767641369628907,MA
FC16,-0.29087229418945315,MA
FC17,0.05672458862304688,MA
FC18,0.050355361572265625,MA
