0,1,2
PERFIL DE ARRANQUE,,
Corriente,380000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000326941311893,
Toroidal Beta,0.013374634664031293,
Total Beta,0.012803873115206161,
Normalized Beta,0.934438007135246,
Elongation,2.0925334911187035,
Triangularity,0.4762877506887399,
Intersect Walls,False,
Plasma Aspect Ratio,3.2051770534870156,
Inverse Plasma Aspect Ratio,0.31199524497782977,
Minour Radius,0.47558276946125255,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,379999.9999999998,Amps
Plasma Pressure on Axis,7214.67503564671,Pascals
Plasma Average Pressure,1612.903715470849,Pascals
Plasma Thermal Energy,30319.952684739732,Joules
,,
Geometric Axis,"[array([1.52432698e+00, 2.92494825e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643899885001888), np.float64(0.00029249482543367835), np.float64(0.119396026474682))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487008754269365), np.float64(1.9999266931718302))","(R,Z)"
Shafranov Shift,"[array([4.00630088e-02, 3.40439482e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
