0,1,2
PERFIL DE ARRANQUE,,
Corriente,660000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.30006834199957605,
Toroidal Beta,0.024301118636917935,
Total Beta,0.022480526877611238,
Normalized Beta,0.9032992711278897,
Elongation,2.3334910226545476,
Triangularity,0.6282188309376802,
Intersect Walls,False,
Plasma Aspect Ratio,3.6716437054794326,
Inverse Plasma Aspect Ratio,0.2723575815669791,
Minour Radius,0.4281370668939849,m
Plasma Volume,11.821276250901745,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,659999.9999999999,Amps
Plasma Pressure on Axis,8047.977381050738,Pascals
Plasma Average Pressure,2976.8417821519174,Pascals
Plasma Thermal Energy,52785.10359306673,Joules
am,6,
an,2,
L,978870.0808397068,
Beta0,0.10536509639579343,
,,
Geometric Axis,"[array([1.57196677e+00, 5.85176529e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5892846210695095), np.float64(0.0005851765294033464), np.float64(0.16152218732106066))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.1438129846557328), np.float64(2.00011561307244))","(R,Z)"
Shafranov Shift,"[array([1.73178543e-02, 2.84060969e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
