0,1,2
PERFIL DE ARRANQUE,,
Corriente,850000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.300024444165562,
Toroidal Beta,0.060449701906968356,
Total Beta,0.05031259082575898,
Normalized Beta,2.2852719664594323,
Elongation,2.092501006181725,
Triangularity,0.4762676520578729,
Intersect Walls,False,
Plasma Aspect Ratio,3.205281483596302,
Inverse Plasma Aspect Ratio,0.31198507997432023,
Minour Radius,0.4755724802434286,m
Plasma Volume,12.532243305004537,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,850000.0,Amps
Plasma Pressure on Axis,36097.64732995082,Pascals
Plasma Average Pressure,8069.941005039231,Pascals
Plasma Thermal Energy,151701.6961982767,Joules
am,2,
an,2,
L,1985440.6944109735,
Beta0,0.174910322769547,
,,
Geometric Axis,"[array([1.52434367e+00, 2.79640830e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5644002590918002), np.float64(0.00027964082972936226), np.float64(0.26706074845707206))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.04872821347081), np.float64(1.999933064609544))","(R,Z)"
Shafranov Shift,"[array([4.00565941e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
